study,gene,spearman_rho,p_value,n,FDR,rho_legacy_8277,p_legacy_8277,FDR_legacy_8277,delta_rho
GBM,AIF1,0.167482340904172,0.03102034210663989,166,0.09306102631991968,0.1662914038023351,0.0322533202769601,0.0645066405539203,0.001190937101836903
GBM,APOE,0.1140243062615186,0.14352908570435602,166,0.3075623265093343,0.1446938399393244,0.0628907518062722,0.1109836796581275,-0.030669533677805783
GBM,C1QA,0.22736782732454044,0.003219355022120867,166,0.020278923837452726,0.112578859310227,0.1487075186463883,0.2473781166471878,0.11478896801431344
GBM,CD14,0.21847957972335724,0.0046856237445765045,166,0.023428118722882522,0.0515088452944246,0.5098520920637372,0.6103089999123239,0.16697073442893265
GBM,CD163,0.14058411107686053,0.07082534946651708,166,0.16344311415350096,-0.0773629590958178,0.3218292181528603,0.4291056242038137,0.21794707017267834
GBM,CD274,-0.08646759055820452,0.26798498919436553,166,0.4729146868135862,-0.3930022056668708,1.6275785744825637e-07,5.42526191494188e-07,0.30653461510866625
GBM,CD4,0.1032550452217143,0.18555718741281638,166,0.34791972639903074,0.1016102088989002,0.1926984756780814,0.2964591933508945,0.0016448363228141055
GBM,CD68,0.1933233205002919,0.012575706514415653,166,0.0471588994290587,0.0793685877108523,0.3094055391882446,0.4219166443476063,0.11395473278943961
GBM,CD8A,0.10594670461923908,0.17429241232276904,166,0.34791972639903074,-0.0403014608033488,0.6061799793096558,0.6994384376649875,0.1462481654225879
GBM,CSF1R,0.07198614818555661,0.35670348673885655,166,0.509576409626938,0.0829587809870783,0.2879609462569833,0.4018059715213721,-0.010972632801521692
GBM,CTLA4,0.06750422222907711,0.3875080716162689,166,0.5162351209592146,0.0674491727579599,0.387896149517781,0.4848701868972262,5.5049471117202264e-05
GBM,FOXP3,0.06633790447883613,0.3957802594020646,166,0.5162351209592146,-0.0228463417257599,0.770157854771025,0.8557309497455834,0.08918424620459603
GBM,GFAP,0.05183805444969864,0.5071474109566404,166,0.5851700895653543,0.4306290577416026,6.9913510324386965e-09,2.6217566371645113e-08,-0.37879100329190396
GBM,GPX4,0.2683566055184265,0.00047272844784706277,166,0.00908458774022143,0.0504306067584152,0.5187626499254753,0.6103089999123239,0.21792599876001129
GBM,GZMA,0.15006666845939076,0.053630836015258886,166,0.13407709003814722,-0.0184271349005842,0.813709679653319,0.8718317996285561,0.16849380335997496
GBM,IFNG,-0.010002660258895313,0.8982244433283919,166,0.9291976999948882,-0.0839393891558289,0.2822806745935491,0.4018059715213721,0.07393672889693358
GBM,IL10,0.22884104442229633,0.003021056081595995,166,0.020278923837452726,0.1522278364119555,0.0502388870208441,0.0913434309469893,0.07661320801034083
GBM,ITGAM,0.07436037016875341,0.3410230113988598,166,0.509576409626938,-0.0246105978255575,0.7529613117665557,0.8524090321885536,0.0989709679943109
GBM,LAG3,-0.004348367886352159,0.9556590941423497,166,0.9556590941423497,0.0912318350583815,0.2424046176775789,0.3547384648940179,-0.09558020294473367
GBM,LYZ,0.21178978297512316,0.006158026460350732,166,0.02639154197293171,0.0204589859442075,0.7936058147132173,0.8657517978689644,0.19133079703091566
GBM,MRC1,0.058357326967095384,0.4551620314743269,166,0.5461944377691922,-0.1068151365277144,0.1707681880461604,0.2696339811255164,0.1651724634948098
GBM,OLIG2,-0.1816463458624919,0.019171237193151922,166,0.06390412397717307,0.1115307904656144,0.1525498385990991,0.2473781166471878,-0.29317713632810627
GBM,PDCD1,0.1555220336982115,0.0454127383917142,166,0.12385292288649327,0.0726473051579178,0.3522923384109809,0.4595117457534534,0.0828747285402937
GBM,PRF1,0.060377383240091564,0.4396790188373908,166,0.5461944377691922,-0.1198287673254629,0.1241058903283468,0.2127529548485945,0.18020615056555445
GBM,PTPRC,0.013050350558466858,0.8674655940765318,166,0.9291976999948882,0.013188090317565,0.8660797827704928,0.9116629292320976,-0.00013773975909814155
GBM,SOX10,0.02426559804815342,0.7563148498210767,166,0.8403498331345296,0.3606694785694308,1.8110231386975464e-06,5.174351824850133e-06,-0.3364038805212774
GBM,TNF,0.08007162017695169,0.3051260069632878,166,0.4817779057315071,0.2079098372214424,0.0071897170683313,0.0148752766930992,-0.12783821704449072
GBM,TREM2,0.2262344970518984,0.003379820639575454,166,0.020278923837452726,0.2310670429570992,0.0027423192531992,0.0060940427848873,-0.004832545905200797
GBM,TYROBP,0.2634218966229644,0.0006056391826814286,166,0.00908458774022143,0.1542655024664054,0.0472058522354619,0.0885109729414912,0.10915639415655898
GBM,VEGFA,-0.0828839582609152,0.28839747896313267,166,0.48066246493855447,-0.0697431444295422,0.371923883428922,0.4747964469305387,-0.013140813831373
LGG,AIF1,0.12651252410807431,0.0035297332867077528,530,0.013236499825154072,0.4571329152471008,1.0004460267286732e-28,3.00133808018602e-27,-0.3306203911390265
LGG,APOE,0.08872170330207318,0.04117809540927732,530,0.08575410341084168,0.4093650021134305,7.848552126842176e-23,4.709131276105307e-22,-0.32064329881135734
LGG,C1QA,0.13312340089740174,0.0021321833736930315,530,0.010660916868465157,0.4492169427129869,1.1037422016538049e-27,2.20748440330761e-26,-0.31609354181558513
LGG,CD14,0.07194572789104955,0.09801600888361965,530,0.16336001480603277,0.4449565513592535,3.91587207067536e-27,5.873808106013041e-26,-0.3730108234682039
LGG,CD163,-0.04417729767861835,0.3100428429372802,530,0.44291834705325744,0.2305458483460324,7.983335237901662e-08,2.817647731024117e-07,-0.27472314602465076
LGG,CD274,-0.0791581659049973,0.0686200376099858,530,0.12109418401762201,0.1354059176044496,0.0017821725888395,0.0041127059742451,-0.2145640835094469
LGG,CD4,0.08799336792442755,0.04287705170542084,530,0.08575410341084168,0.4226668360419955,2.2211315552850923e-24,1.4807543701900613e-23,-0.33467346811756793
LGG,CD68,0.10018274882525091,0.02106929147278265,530,0.052673228681956626,0.4283146595958919,4.65641013602339e-25,3.991208688020048e-24,-0.32813191077064097
LGG,CD8A,0.05066553499018348,0.24426106101965112,530,0.3663915915294767,-0.0528845177300826,0.2241872128521098,0.3362808192781648,0.10355005272026607
LGG,CSF1R,-0.0027326682315882422,0.9499557641164047,530,0.9967597027611514,0.4724424271656536,8.02828167948974e-31,4.8169690076938435e-29,-0.47517509539724184
LGG,CTLA4,0.05858986626986967,0.17804062837741882,530,0.281116781648556,0.1856248034231614,1.7022358384425845e-05,4.6424613775706856e-05,-0.12703493715329173
LGG,FOXP3,0.040198496385567065,0.35568042897634866,530,0.4639309943169765,-0.1430227202208155,0.0009605079820516,0.0023052191569239,0.18322121660638258
LGG,GFAP,0.09760979690074598,0.024626666170485693,530,0.056830768085736214,0.4370442059935011,3.9247790326179473e-26,3.9247790326179473e-25,-0.33943440909275513
LGG,GPX4,0.2709622413803874,2.2633088122086877e-10,530,6.789926436626063e-09,-0.0061086754451664,0.8884217488040653,0.9190569815214468,0.2770709168255538
LGG,GZMA,0.1149267192497531,0.008088690418795385,530,0.024266071256386156,0.091643146739389,0.0349236498458836,0.0675941609920327,0.0232835725103641
LGG,IFNG,-0.00017682132886159967,0.9967597027611514,530,0.9967597027611514,0.03265697819725,0.4531070805996821,0.5548249966526719,-0.032833799526111596
LGG,IL10,0.0010179103168271647,0.9813481695322306,530,0.9967597027611514,0.3799531266390827,1.2028660262091298e-19,5.5516893517344455e-19,-0.3789352163222555
LGG,ITGAM,0.03192186112419243,0.4633460793642633,530,0.5791825992053291,0.4226696571729434,2.2194151358518953e-24,1.4807543701900613e-23,-0.390747796048751
LGG,LAG3,0.08025097585938194,0.06487295889354017,530,0.12109418401762201,0.2168193086584863,4.659108062958736e-07,1.467731148829927e-06,-0.13656833279910435
LGG,LYZ,0.04067155810451444,0.3500431666864875,530,0.4639309943169765,0.165868837400652,0.0001249647223591,0.0003259949278933,-0.12519727929613755
LGG,MRC1,-0.1553113530969669,0.00033208380667913587,530,0.0033208380667913585,0.2164262042118358,4.892437162766423e-07,1.467731148829927e-06,-0.3717375573088027
LGG,OLIG2,-0.029370430397765344,0.4998618071194132,530,0.5998341685432959,0.1169803307526165,0.0070179197699784,0.0148752766930992,-0.14635076115038184
LGG,PDCD1,0.14806061270977142,0.000627530018864096,530,0.003765180113184576,0.145068177783906,0.0008093711989414,0.0020234279973535,0.002992434925865428
LGG,PRF1,0.103739872392192,0.016890555501789754,530,0.046065151368517514,-0.0049221077684918,0.9099920475597164,0.9254156415861524,0.10866198016068379
LGG,PTPRC,-0.023497239019705397,0.5893733258017897,530,0.6800461451559111,0.3955943365231998,2.6669589053172546e-21,1.3334794526586272e-20,-0.4190915755429052
LGG,SOX10,0.12662633913793783,0.0034999026819874735,530,0.013236499825154072,-0.0026773742290932,0.950967095832108,0.950967095832108,0.12930371336703103
