study,gene,n,rho_base,rho_adj,delta_rho,ci95_low,ci95_high,p_partial,direction_retained
GBM,C1QA,166,0.2274,0.1916,-0.0358,0.0404,0.3342,1.341e-02,True
GBM,CD14,166,0.2185,0.1836,-0.0349,0.0322,0.3268,1.790e-02,True
GBM,CD68,166,0.1933,0.154,-0.0393,0.0017,0.2993,4.756e-02,True
GBM,GPX4,166,0.2684,0.245,-0.0234,0.0963,0.383,1.466e-03,True
GBM,IL10,166,0.2288,0.1933,-0.0356,0.0422,0.3357,1.260e-02,True
GBM,LYZ,166,0.2118,0.1756,-0.0362,0.0239,0.3193,2.367e-02,True
GBM,TREM2,166,0.2262,0.193,-0.0332,0.0419,0.3355,1.272e-02,True
GBM,TYROBP,166,0.2634,0.234,-0.0294,0.0847,0.373,2.412e-03,True
LGG,AIF1,530,0.1265,0.1333,0.0068,0.0487,0.2161,2.096e-03,True
LGG,C1QA,530,0.1331,0.1361,0.003,0.0516,0.2188,1.680e-03,True
LGG,GPX4,530,0.271,0.289,0.018,0.2089,0.3652,1.185e-11,True
LGG,GZMA,530,0.1149,0.1241,0.0091,0.0393,0.2071,4.226e-03,True
LGG,MRC1,530,-0.1553,-0.15,0.0053,-0.2322,-0.0657,5.307e-04,True
LGG,PDCD1,530,0.1481,0.151,0.0029,0.0666,0.2331,4.883e-04,True
LGG,PRF1,530,0.1037,0.1114,0.0077,0.0265,0.1948,1.024e-02,True
LGG,SOX10,530,0.1266,0.1338,0.0071,0.0491,0.2165,2.029e-03,True
LGG,TNF,530,-0.1154,-0.1137,0.0018,-0.1969,-0.0288,8.813e-03,True
LGG,TREM2,530,0.1635,0.1659,0.0024,0.0819,0.2476,1.245e-04,True
LGG,TYROBP,530,0.1518,0.1572,0.0055,0.073,0.2392,2.793e-04,True
