study,gene,spearman_rho,p_value,n,FDR
GBM,GPX4,0.2683566055184265,0.00047272844784706277,166,0.00908458774022143
GBM,TYROBP,0.2634218966229644,0.0006056391826814286,166,0.00908458774022143
GBM,IL10,0.22884104442229633,0.003021056081595995,166,0.020278923837452726
GBM,C1QA,0.22736782732454044,0.003219355022120867,166,0.020278923837452726
GBM,TREM2,0.2262344970518984,0.003379820639575454,166,0.020278923837452726
GBM,CD14,0.21847957972335724,0.0046856237445765045,166,0.023428118722882522
GBM,LYZ,0.21178978297512316,0.006158026460350732,166,0.02639154197293171
GBM,CD68,0.1933233205002919,0.012575706514415653,166,0.0471588994290587
GBM,AIF1,0.167482340904172,0.03102034210663989,166,0.09306102631991968
GBM,PDCD1,0.1555220336982115,0.0454127383917142,166,0.12385292288649327
GBM,GZMA,0.15006666845939076,0.053630836015258886,166,0.13407709003814722
GBM,CD163,0.14058411107686053,0.07082534946651708,166,0.16344311415350096
GBM,APOE,0.1140243062615186,0.14352908570435602,166,0.3075623265093343
GBM,CD8A,0.10594670461923908,0.17429241232276904,166,0.34791972639903074
GBM,CD4,0.1032550452217143,0.18555718741281638,166,0.34791972639903074
GBM,TNF,0.08007162017695169,0.3051260069632878,166,0.4817779057315071
GBM,ITGAM,0.07436037016875341,0.3410230113988598,166,0.509576409626938
GBM,CSF1R,0.07198614818555661,0.35670348673885655,166,0.509576409626938
GBM,CTLA4,0.06750422222907711,0.3875080716162689,166,0.5162351209592146
GBM,FOXP3,0.06633790447883613,0.3957802594020646,166,0.5162351209592146
GBM,PRF1,0.060377383240091564,0.4396790188373908,166,0.5461944377691922
GBM,MRC1,0.058357326967095384,0.4551620314743269,166,0.5461944377691922
GBM,GFAP,0.05183805444969864,0.5071474109566404,166,0.5851700895653543
GBM,SOX10,0.02426559804815342,0.7563148498210767,166,0.8403498331345296
GBM,PTPRC,0.013050350558466858,0.8674655940765318,166,0.9291976999948882
GBM,LAG3,-0.004348367886352159,0.9556590941423497,166,0.9556590941423497
GBM,IFNG,-0.010002660258895313,0.8982244433283919,166,0.9291976999948882
GBM,VEGFA,-0.0828839582609152,0.28839747896313267,166,0.48066246493855447
GBM,CD274,-0.08646759055820452,0.26798498919436553,166,0.4729146868135862
GBM,OLIG2,-0.1816463458624919,0.019171237193151922,166,0.06390412397717307
LGG,GPX4,0.2709622413803874,2.2633088122086877e-10,530,6.789926436626063e-09
LGG,TREM2,0.1634998868525026,0.0001564301268686405,530,0.0023464519030296075
LGG,TYROBP,0.15175753428328873,0.00045524165168757207,530,0.0034143123876567904
LGG,PDCD1,0.14806061270977142,0.000627530018864096,530,0.003765180113184576
LGG,C1QA,0.13312340089740174,0.0021321833736930315,530,0.010660916868465157
LGG,SOX10,0.12662633913793783,0.0034999026819874735,530,0.013236499825154072
LGG,AIF1,0.12651252410807431,0.0035297332867077528,530,0.013236499825154072
LGG,GZMA,0.1149267192497531,0.008088690418795385,530,0.024266071256386156
LGG,PRF1,0.103739872392192,0.016890555501789754,530,0.046065151368517514
LGG,CD68,0.10018274882525091,0.02106929147278265,530,0.052673228681956626
LGG,GFAP,0.09760979690074598,0.024626666170485693,530,0.056830768085736214
LGG,APOE,0.08872170330207318,0.04117809540927732,530,0.08575410341084168
LGG,CD4,0.08799336792442755,0.04287705170542084,530,0.08575410341084168
LGG,LAG3,0.08025097585938194,0.06487295889354017,530,0.12109418401762201
LGG,CD14,0.07194572789104955,0.09801600888361965,530,0.16336001480603277
LGG,CTLA4,0.05858986626986967,0.17804062837741882,530,0.281116781648556
LGG,CD8A,0.05066553499018348,0.24426106101965112,530,0.3663915915294767
LGG,LYZ,0.04067155810451444,0.3500431666864875,530,0.4639309943169765
LGG,FOXP3,0.040198496385567065,0.35568042897634866,530,0.4639309943169765
LGG,ITGAM,0.03192186112419243,0.4633460793642633,530,0.5791825992053291
LGG,IL10,0.0010179103168271647,0.9813481695322306,530,0.9967597027611514
LGG,IFNG,-0.00017682132886159967,0.9967597027611514,530,0.9967597027611514
LGG,CSF1R,-0.0027326682315882422,0.9499557641164047,530,0.9967597027611514
LGG,VEGFA,-0.013541871324595486,0.7557736518007023,530,0.8397485020007803
LGG,PTPRC,-0.023497239019705397,0.5893733258017897,530,0.6800461451559111
LGG,OLIG2,-0.029370430397765344,0.4998618071194132,530,0.5998341685432959
LGG,CD163,-0.04417729767861835,0.3100428429372802,530,0.44291834705325744
LGG,CD274,-0.0791581659049973,0.0686200376099858,530,0.12109418401762201
LGG,TNF,-0.11542177215781649,0.007818017293859066,530,0.024266071256386156
LGG,MRC1,-0.1553113530969669,0.00033208380667913587,530,0.0033208380667913585
