Sample,ZP3_FPKM
CGGA_1880,2.0
CGGA_1337,10.67
CGGA_1685,0.43
CGGA_P364,2.46
CGGA_P179,0.59
CGGA_1729,4.01
CGGA_1906,2.59
CGGA_P633,0.43
CGGA_P17,1.78
CGGA_1745,0.07
CGGA_1134,1.08
CGGA_1693,18.22
CGGA_1811,2.8
CGGA_1440,0.63
CGGA_1536,1.27
CGGA_1727,4.03
CGGA_1650,0.59
CGGA_703,1.28
CGGA_1415,0.99
CGGA_1335,2.01
CGGA_P28,0.15
CGGA_2078,0.72
CGGA_P505,1.35
CGGA_1744,7.8
CGGA_1682,0.26
CGGA_1737,1.75
CGGA_420,0.13
CGGA_1262,0.41
CGGA_809,2.83
CGGA_1012,0.67
CGGA_1491,1.25
CGGA_1666,0.08
CGGA_1520,4.98
CGGA_P20,1.04
CGGA_1643,2.38
CGGA_1482,7.39
CGGA_1474,0.06
CGGA_1527,0.67
CGGA_1720,0.61
CGGA_1226,4.17
CGGA_P159,4.08
CGGA_1670,2.33
CGGA_1455,0.23
CGGA_554,6.06
CGGA_1773,2.04
CGGA_1419,1.01
CGGA_1033,4.23
CGGA_1850,0.4
CGGA_1273,1.09
CGGA_1319,25.16
CGGA_881,0.32
CGGA_1807,1.22
CGGA_1198,0.0
CGGA_1256,98.22
CGGA_1377,0.3
CGGA_P286,2.22
CGGA_2121,1.4
CGGA_P23,0.08
CGGA_1181,2.92
CGGA_1282,4.43
CGGA_1418,0.12
CGGA_1747,6.72
CGGA_1345,6.03
CGGA_1478,1.84
CGGA_1901,13.73
CGGA_P142,0.29
CGGA_P310,22.62
CGGA_1696,0.2
CGGA_1017,0.41
CGGA_P18,1.01
CGGA_P89,1.32
CGGA_1701,2.14
CGGA_P164,0.58
CGGA_P15,3.76
CGGA_P180,0.27
CGGA_1689,1.54
CGGA_1548,2.46
CGGA_P619,1.1
CGGA_1260,5.67
CGGA_1037,36.05
CGGA_1605,1.23
CGGA_1553,0.79
CGGA_1786,0.92
CGGA_1699,0.04
CGGA_2062,0.48
CGGA_1770,1.33
CGGA_P319,0.35
CGGA_P143,0.76
CGGA_1840,0.99
CGGA_1544,1.52
CGGA_1400,8.71
CGGA_1583,4.77
CGGA_1309,16.59
CGGA_889,1.13
CGGA_1339,0.52
CGGA_1809,3.18
CGGA_P492,0.21
CGGA_P174,0.53
CGGA_P392,0.67
CGGA_P585,0.85
CGGA_1100,0.0
CGGA_1624,2.57
CGGA_1562,1.12
CGGA_P594,0.89
CGGA_1651,2.53
CGGA_1386,7.87
CGGA_1829,1.42
CGGA_1480,6.76
CGGA_1463,0.08
CGGA_1354,0.76
CGGA_P111,0.12
CGGA_320,0.85
CGGA_1318,1.95
CGGA_290,0.27
CGGA_810,0.96
CGGA_P27,0.42
CGGA_P113,0.46
CGGA_724,1.98
CGGA_1680,3.62
CGGA_P625,0.34
CGGA_D28,0.75
CGGA_1610,67.85
CGGA_1097,3.23
CGGA_1728,0.38
CGGA_1433,0.6
CGGA_P314,0.83
CGGA_2013,0.32
CGGA_P31,1.22
CGGA_D49,0.18
CGGA_2106,0.15
CGGA_1539,0.24
CGGA_P199,3.44
CGGA_1623,2.0
CGGA_1204,0.21
CGGA_852,1.77
CGGA_1654,18.76
CGGA_867,1.78
CGGA_1690,1.15
CGGA_521,4.06
CGGA_2038,0.78
CGGA_705,0.53
CGGA_1441,6.97
CGGA_1127,6.98
CGGA_2047,2.75
CGGA_1291,11.97
