sample,ZP3,subtype,subtype_clean,idh
TCGA-19-1787-01,1.5758,Mesenchymal,Mesenchymal,
TCGA-06-5412-01,1.9822,Mesenchymal,Mesenchymal,WT
TCGA-16-0846-01,0.7233,Proneural,Proneural,WT
TCGA-12-5299-01,3.0825,Classical,Classical,WT
TCGA-06-2561-01,0.9191,Mesenchymal,Mesenchymal,WT
TCGA-06-0132-01,2.0076,Neural,Neural,WT
TCGA-26-5136-01,1.8484,Mesenchymal,Mesenchymal,WT
TCGA-27-2521-01,2.1925,G-CIMP,Other,R132H
TCGA-19-2629-01,1.5514,G-CIMP,Other,R132H
TCGA-06-0238-01,1.7229,Proneural,Proneural,WT
TCGA-06-0749-01,3.4156,Neural,Neural,WT
TCGA-06-0174-01,0.8164,Proneural,Proneural,WT
TCGA-06-5414-01,4.7121,Classical,Classical,WT
TCGA-28-5207-01,2.9167,Mesenchymal,Mesenchymal,WT
TCGA-06-5410-01,1.6558,Mesenchymal,Mesenchymal,WT
TCGA-06-0747-01,5.0401,Classical,Classical,WT
TCGA-28-2513-01,2.5511,Mesenchymal,Mesenchymal,WT
TCGA-76-4927-01,0.8327,Neural,Neural,WT
TCGA-06-0645-01,-0.1828,Mesenchymal,Mesenchymal,WT
TCGA-06-2565-01,0.5069,Classical,Classical,WT
TCGA-06-0130-01,4.182,Mesenchymal,Mesenchymal,WT
TCGA-06-0750-01,3.5387,Mesenchymal,Mesenchymal,WT
TCGA-27-1831-01,3.7335,Neural,Neural,WT
TCGA-06-5416-01,4.174,Proneural,Proneural,
TCGA-06-0141-01,3.2049,Mesenchymal,Mesenchymal,WT
TCGA-06-0125-01,0.9642,Classical,Classical,WT
TCGA-76-4925-01,2.6647,Proneural,Proneural,WT
TCGA-76-4932-01,0.7999,Proneural,Proneural,WT
TCGA-06-0743-01,2.8916,Classical,Classical,WT
TCGA-14-1034-01,2.3564,Mesenchymal,Mesenchymal,WT
TCGA-06-0184-01,4.2951,Mesenchymal,Mesenchymal,WT
TCGA-12-3652-01,1.3225,Classical,Classical,WT
TCGA-26-5132-01,3.928,Classical,Classical,WT
TCGA-32-1970-01,3.7888,Classical,Classical,WT
TCGA-06-0219-01,2.0673,Neural,Neural,WT
TCGA-14-0787-01,4.7777,Classical,Classical,WT
TCGA-06-0190-01,2.2113,Mesenchymal,Mesenchymal,WT
TCGA-26-5135-01,3.7378,Proneural,Proneural,WT
TCGA-76-4931-01,1.6374,Classical,Classical,WT
TCGA-41-3915-01,2.1247,Mesenchymal,Mesenchymal,WT
TCGA-06-0649-01,4.3541,Neural,Neural,WT
TCGA-12-0618-01,5.9343,Proneural,Proneural,WT
TCGA-27-2524-01,1.4652,Mesenchymal,Mesenchymal,WT
TCGA-28-1753-01,1.5266,Mesenchymal,Mesenchymal,WT
TCGA-12-5295-01,4.9782,Neural,Neural,WT
TCGA-27-2523-01,3.0287,Classical,Classical,WT
TCGA-06-2569-01,-1.1172,Mesenchymal,Mesenchymal,WT
TCGA-27-1830-01,2.3479,Proneural,Proneural,WT
TCGA-06-2559-01,0.547,Proneural,Proneural,WT
TCGA-27-2526-01,2.5804,Neural,Neural,WT
TCGA-06-5856-01,2.3451,Classical,Classical,WT
TCGA-26-1442-01,-1.4699,G-CIMP,Other,R132H
TCGA-06-5418-01,2.0254,Mesenchymal,Mesenchymal,WT
TCGA-26-5139-01,3.3235,Mesenchymal,Mesenchymal,WT
TCGA-06-5417-01,1.4228,G-CIMP,Other,R132H
TCGA-26-5134-01,2.4359,Proneural,Proneural,WT
TCGA-06-5413-01,5.5558,Neural,Neural,WT
TCGA-76-4929-01,4.7939,Neural,Neural,WT
TCGA-06-0646-01,2.1702,Proneural,Proneural,WT
TCGA-12-3650-01,0.7058,Proneural,Proneural,WT
TCGA-19-2620-01,1.6604,Neural,Neural,WT
TCGA-28-5213-01,0.7407,Mesenchymal,Mesenchymal,WT
TCGA-06-0138-01,1.5366,Neural,Neural,WT
TCGA-06-5415-01,0.2277,Classical,Classical,WT
TCGA-06-0139-01,1.105,Mesenchymal,Mesenchymal,WT
TCGA-02-0047-01,-0.1187,Proneural,Proneural,WT
TCGA-14-0789-01,2.3077,Mesenchymal,Mesenchymal,WT
TCGA-12-0616-01,2.3048,Proneural,Proneural,WT
TCGA-32-1982-01,0.7664,Neural,Neural,WT
TCGA-28-5220-01,2.4144,Classical,Classical,WT
TCGA-14-0817-01,4.6468,Neural,Neural,WT
TCGA-12-1597-01,4.7421,Proneural,Proneural,WT
TCGA-06-2570-01,1.934,G-CIMP,Other,R132H
TCGA-06-0211-01,4.22192948419,Classical,Classical,WT
TCGA-02-2483-01,2.2603,G-CIMP,Other,R132H
TCGA-06-0156-01,3.30467603165,Proneural,Proneural,WT
TCGA-27-1837-01,2.6783,Classical,Classical,WT
TCGA-28-5204-01,0.6517,Neural,Neural,WT
TCGA-32-5222-01,0.2881,Proneural,Proneural,WT
TCGA-28-5209-01,3.1733,Mesenchymal,Mesenchymal,WT
TCGA-27-2519-01,3.0944,Mesenchymal,Mesenchymal,WT
TCGA-14-0790-01,5.8951,Classical,Classical,WT
TCGA-12-0821-01,2.5112,Neural,Neural,WT
TCGA-19-2619-01,0.4552,Classical,Classical,WT
TCGA-27-1835-01,0.6145,Classical,Classical,WT
TCGA-12-0619-01,5.2312,Mesenchymal,Mesenchymal,WT
TCGA-06-0168-01,5.5488,Mesenchymal,Mesenchymal,WT
TCGA-27-2528-01,0.5763,Classical,Classical,WT
TCGA-28-5215-01,1.934,Mesenchymal,Mesenchymal,WT
TCGA-28-5218-01,3.6301,Mesenchymal,Mesenchymal,WT
TCGA-14-1825-01,0.7058,Proneural,Proneural,WT
TCGA-06-0129-01,1.2875,G-CIMP,Other,R132H
TCGA-06-5859-01,1.3791,Neural,Neural,WT
TCGA-28-1747-01,1.2875,Classical,Classical,WT
TCGA-32-1980-01,2.0395,Neural,Neural,WT
TCGA-06-2564-01,5.1914,Classical,Classical,WT
TCGA-06-5408-01,2.7314,Classical,Classical,WT
TCGA-27-1832-01,3.074,Mesenchymal,Mesenchymal,WT
TCGA-14-1829-01,3.7367,Neural,Neural,WT
TCGA-32-2615-01,1.9415,Mesenchymal,Mesenchymal,WT
TCGA-06-0158-01,1.8201,Classical,Classical,WT
TCGA-28-5216-01,3.9356,Mesenchymal,Mesenchymal,WT
TCGA-41-2572-01,2.8219,Classical,Classical,WT
TCGA-02-0055-01,1.9452,Mesenchymal,Mesenchymal,WT
TCGA-32-2634-01,3.6335,Proneural,Proneural,WT
TCGA-06-5411-01,2.694,Neural,Neural,WT
TCGA-06-0744-01,2.0844,Classical,Classical,WT
TCGA-76-4928-01,2.1313,Classical,Classical,WT
TCGA-06-0644-01,3.2526,Mesenchymal,Mesenchymal,WT
TCGA-14-0871-01,2.4518,Mesenchymal,Mesenchymal,WT
TCGA-08-0386-01,4.0506,Neural,Neural,WT
TCGA-32-2632-01,3.1195,Mesenchymal,Mesenchymal,WT
TCGA-06-0882-01,1.8722,Neural,Neural,WT
TCGA-41-4097-01,3.3911,Mesenchymal,Mesenchymal,WT
TCGA-16-1045-01,0.7748,Mesenchymal,Mesenchymal,WT
