Cancer,Subtype,GeneSet,Rho,P,N,Significant
GBM,Mesenchymal,M2,0.0013265306122448978,0.9927824361822419,49,False
GBM,Mesenchymal,Treg,0.145,0.32019189986074614,49,False
GBM,Mesenchymal,Checkpoint,0.07183673469387755,0.6237728517794128,49,False
GBM,Classical,M2,0.14914104387788596,0.3714994419228066,38,False
GBM,Classical,Treg,-0.14695262063683115,0.3786376102423844,38,False
GBM,Classical,Checkpoint,0.09574351679614837,0.5674553612016506,38,False
GBM,Proneural,M2,-0.06774233331344251,0.7269704055379875,29,False
GBM,Proneural,Treg,-0.08202980724864128,0.672275492144359,29,False
GBM,Proneural,Checkpoint,-0.09410025936630922,0.6272970201212533,29,False
GBM,Neural,M2,0.27999999999999997,0.1659288821288708,26,False
GBM,Neural,Treg,0.10837606837606836,0.598200439533845,26,False
GBM,Neural,Checkpoint,-0.01811965811965812,0.9299915499103084,26,False
LGG,Codel,M2,-0.015801568641801492,0.83890423620638,168,False
LGG,Codel,Treg,0.05892655124322322,0.4480125201790346,168,False
LGG,Codel,Checkpoint,0.18839514172222957,0.01446157506211263,168,True
LGG,Non-codel,M2,-0.03591689356313474,0.5085956675513099,341,False
LGG,Non-codel,Treg,0.030220797672955383,0.5781146391378265,341,False
LGG,Non-codel,Checkpoint,0.07214399079162206,0.18382654373714585,341,False
