study,gene,spearman_rho,p_value,n,FDR
GBM,GFAP,0.43062905774160265,6.991351032438696e-09,166,2.621756637164511e-08
GBM,SOX10,0.3606694785694308,1.8110231386975464e-06,166,5.174351824850133e-06
GBM,TREM2,0.2310670429570992,0.002742319253199294,166,0.00609404278488732
GBM,TNF,0.2079098372214424,0.007189717068331324,166,0.014875276693099291
GBM,AIF1,0.1662914038023351,0.032253320276960165,166,0.06450664055392033
GBM,TYROBP,0.15426550246640544,0.047205852235461976,166,0.08851097294149121
GBM,IL10,0.15222783641195559,0.05023888702084414,166,0.09134343094698934
GBM,APOE,0.14469383993932447,0.06289075180627227,166,0.11098367965812753
GBM,C1QA,0.112578859310227,0.14870751864638837,166,0.2473781166471878
GBM,OLIG2,0.11153079046561447,0.15254983859909915,166,0.2473781166471878
GBM,CD4,0.10161020889890028,0.19269847567808143,166,0.2964591933508945
GBM,LAG3,0.09123183505838157,0.2424046176775789,166,0.3547384648940179
GBM,CSF1R,0.08295878098707833,0.2879609462569833,166,0.4018059715213721
GBM,CD68,0.07936858771085238,0.3094055391882446,166,0.4219166443476063
GBM,PDCD1,0.07264730515791788,0.35229233841098095,166,0.4595117457534534
GBM,CTLA4,0.06744917275795993,0.387896149517781,166,0.4848701868972262
GBM,CD14,0.05150884529442464,0.5098520920637372,166,0.6103089999123239
GBM,GPX4,0.050430606758415236,0.5187626499254753,166,0.6103089999123239
GBM,LYZ,0.020458985944207527,0.7936058147132173,166,0.8657517978689644
GBM,PTPRC,0.013188090317565073,0.8660797827704928,166,0.9116629292320977
GBM,GZMA,-0.018427134900584244,0.813709679653319,166,0.8718317996285561
GBM,FOXP3,-0.022846341725759948,0.770157854771025,166,0.8557309497455834
GBM,ITGAM,-0.02461059782555758,0.7529613117665557,166,0.8524090321885536
GBM,CD8A,-0.04030146080334885,0.6061799793096558,166,0.6994384376649875
GBM,VEGFA,-0.06974314442954221,0.371923883428922,166,0.47479644693053874
GBM,CD163,-0.07736295909581788,0.3218292181528603,166,0.42910562420381376
GBM,IFNG,-0.08393938915582891,0.2822806745935491,166,0.4018059715213721
GBM,MRC1,-0.10681513652771447,0.17076818804616042,166,0.26963398112551645
GBM,PRF1,-0.11982876732546296,0.1241058903283468,166,0.21275295484859452
GBM,CD274,-0.39300220566687083,1.6275785744825637e-07,166,5.42526191494188e-07
LGG,CSF1R,0.47244242716565366,8.02828167948974e-31,530,4.816969007693844e-29
LGG,AIF1,0.4571329152471008,1.0004460267286733e-28,530,3.00133808018602e-27
LGG,C1QA,0.4492169427129869,1.103742201653805e-27,530,2.20748440330761e-26
LGG,CD14,0.44495655135925355,3.9158720706753604e-27,530,5.873808106013041e-26
LGG,TYROBP,0.43948238856613403,1.9416048927223353e-26,530,2.3299258712668026e-25
LGG,GFAP,0.43704420599350113,3.9247790326179473e-26,530,3.9247790326179473e-25
LGG,CD68,0.42831465959589193,4.65641013602339e-25,530,3.991208688020048e-24
LGG,ITGAM,0.4226696571729434,2.219415135851895e-24,530,1.4807543701900613e-23
LGG,CD4,0.4226668360419955,2.221131555285092e-24,530,1.4807543701900613e-23
LGG,APOE,0.4093650021134305,7.848552126842176e-23,530,4.709131276105306e-22
LGG,TREM2,0.39898457018699784,1.1367159832253601e-21,530,6.2002689994110555e-21
LGG,PTPRC,0.39559433652319986,2.6669589053172546e-21,530,1.3334794526586272e-20
LGG,IL10,0.37995312663908276,1.2028660262091298e-19,530,5.551689351734445e-19
LGG,TNF,0.29406824170676193,4.940364918822326e-12,530,2.117299250923854e-11
LGG,CD163,0.23054584834603242,7.983335237901662e-08,530,2.8176477310241164e-07
LGG,LAG3,0.2168193086584863,4.659108062958736e-07,530,1.467731148829927e-06
LGG,MRC1,0.21642620421183587,4.892437162766423e-07,530,1.467731148829927e-06
LGG,CTLA4,0.1856248034231614,1.7022358384425845e-05,530,4.6424613775706856e-05
LGG,LYZ,0.16586883740065203,0.00012496472235910944,530,0.00032599492789332893
LGG,PDCD1,0.14506817778390604,0.0008093711989414249,530,0.002023427997353562
LGG,CD274,0.1354059176044496,0.001782172588839575,530,0.004112705974245173
LGG,OLIG2,0.11698033075261657,0.007017919769978421,530,0.014875276693099291
LGG,GZMA,0.09164314673938907,0.03492364984588361,530,0.06759416099203278
LGG,IFNG,0.03265697819725006,0.4531070805996821,530,0.5548249966526719
LGG,SOX10,-0.0026773742290932085,0.9509670958321081,530,0.9509670958321081
LGG,PRF1,-0.004922107768491873,0.9099920475597164,530,0.9254156415861523
LGG,GPX4,-0.006108675445166408,0.8884217488040653,530,0.9190569815214469
LGG,CD8A,-0.05288451773008261,0.22418721285210982,530,0.3362808192781648
LGG,FOXP3,-0.14302272022081558,0.0009605079820516575,530,0.002305219156923978
LGG,VEGFA,-0.2640655946798954,6.623508156461735e-10,530,2.649403262584694e-09
